facilitycode,facilitycodestd,facilitytype,pkbout,pkbmsgexclusions,ukrdcoutpkb,pvoutpkb,startdate,enddate,firstdataquarter,pkboutstartdate,radar_out,enabled_radar_extracts
RFRPA,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
RFSDA,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
RFW01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RFZ20,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RG222,RR1+,Adult Renal Centre,True,,False,True,,,61,,False,
RG224,RR1+,Adult Renal Centre,True,,False,True,,,61,,False,
RG303A,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGA02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGB04,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGCKJ,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGE01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGN,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGP75,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGQ02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGQ03,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGR50,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RGT01,RR1+,Adult Renal Centre,True,,False,True,,,113,,False,
PV,RR1+,Other,True,,False,True,,,,,False,
CEN1,RR1+,Other,True,,False,True,,,,,False,
RGU01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RH641,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RH8,RR1+,Adult Renal Centre,True,,False,True,2025-03-30 11:48:52.502,,119,,False,
RH801,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RH802,RR1+,Adult Renal Centre,True,,False,True,,,121,,False,
RH840,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RH8G3,RR1+,Adult Renal Centre,True,,False,True,,,121,,False,
RHANN,RR1+,Adult Renal Centre,True,,False,True,,,112,,False,
RHBR6,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RHM01,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RHM02,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RHS55,RR1+,Adult Renal Centre,True,,False,True,,,,,False,
RHU02,RR1+,Adult Renal Centre,True,,False,True,,,115,,False,
RHU03,RR1+,Adult Renal Centre,True,,False,True,,,120,,False,
RHW01,RR1+,Adult Renal Centre,True,,False,True,2024-10-23 23:30:31.109,,111,,False,
RJ121,RR1+,Adult Renal Centre,True,,False,True,2025-09-17 12:46:29.655,,116,,False,
