source_coding_standard,source_code,destination_coding_standard,destination_code,,,,
RR1+_SATELLITE,RGE01,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,RR803,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,9RQR14,RR1+_MAIN,RQR13,,,,
RR1+_SATELLITE,REZ02,RR1+_MAIN,RM301,,,,
RR1+_SATELLITE,7RM301,RR1+_MAIN,RM301,,,,
RR1+_SATELLITE,9RM301,RR1+_MAIN,RM301,,,,
RR1+_SATELLITE,RMC00,RR1+_MAIN,RM301,,,,
RR1+_SATELLITE,RHANN,RR1+_MAIN,RCSLB,,,,
RR1+_SATELLITE,9RCSLB,RR1+_MAIN,RCSLB,,,,
RR1+_SATELLITE,RX1RA,RR1+_MAIN,RCSLB,,,,
RR1+_SATELLITE,RXM56,RR1+_MAIN,RCSLB,,,,
RR1+_SATELLITE,RFJBC,RR1+_MAIN,RCSLB,,,,
RR1+_SATELLITE,RTG54,RR1+_MAIN,RFPFG,,,,
RR1+_SATELLITE,RJE55,RR1+_MAIN,RFPFG,,,,
RR1+_SATELLITE,RTG54,RR1+_MAIN,RFPFG,,,,
RR1+_SATELLITE,RTG05,RR1+_MAIN,RFPFG,,,,
RR1+_SATELLITE,RAJ12,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,RAJ01,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,RDDH0,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,RDDH1,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,RQ8L0,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,RAJ20,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,RAJ32,RR1+_MAIN,RAJ,,,,
RR1+_SATELLITE,9RF201,RR1+_MAIN,RF201,,,,
RR1+_SATELLITE,RJL,RR1+_MAIN,RF201,,,,
RR1+_SATELLITE,RF832,RR1+_MAIN,RF201,,,,
RR1+_SATELLITE,RF202,RR1+_MAIN,RF201,,,,
RR1+_SATELLITE,RF316,RR1+_MAIN,RF201,,,,
